tweet_id,date_time,favorites,followers,friends,retweets
892420643555336193,Tue Aug 01 16:23:56 +0000 2017,34760,9012343,18,7288
892177421306343426,Tue Aug 01 00:17:27 +0000 2017,30133,9012343,18,5447
891815181378084864,Mon Jul 31 00:18:03 +0000 2017,22673,9012343,18,3589
891689557279858688,Sun Jul 30 15:58:51 +0000 2017,38018,9012343,18,7473
891327558926688256,Sat Jul 29 16:00:24 +0000 2017,36307,9012343,18,8034
891087950875897856,Sat Jul 29 00:08:17 +0000 2017,18306,9012343,18,2695
890971913173991426,Fri Jul 28 16:27:12 +0000 2017,10660,9012343,18,1738
890729181411237888,Fri Jul 28 00:22:40 +0000 2017,58539,9012343,18,16355
890609185150312448,Thu Jul 27 16:25:51 +0000 2017,25223,9012343,18,3740
890240255349198849,Wed Jul 26 15:59:51 +0000 2017,28752,9012343,18,6312
890006608113172480,Wed Jul 26 00:31:25 +0000 2017,27764,9012343,18,6351
889880896479866881,Tue Jul 25 16:11:53 +0000 2017,25247,9012343,18,4312
889665388333682689,Tue Jul 25 01:55:32 +0000 2017,43293,9012343,18,8643
889638837579907072,Tue Jul 25 00:10:02 +0000 2017,24341,9012343,18,3863
889531135344209921,Mon Jul 24 17:02:04 +0000 2017,13712,9012343,18,1947
889278841981685760,Mon Jul 24 00:19:32 +0000 2017,22721,9012343,18,4611
888917238123831296,Sun Jul 23 00:22:39 +0000 2017,26303,9012343,18,3875
888804989199671297,Sat Jul 22 16:56:37 +0000 2017,23082,9012343,18,3669
888554962724278272,Sat Jul 22 00:23:06 +0000 2017,17811,9012343,18,2980
888078434458587136,Thu Jul 20 16:49:33 +0000 2017,19696,9012343,18,3004
887705289381826560,Wed Jul 19 16:06:48 +0000 2017,27365,9012343,18,4679
887517139158093824,Wed Jul 19 03:39:09 +0000 2017,41849,9012343,18,10180
887473957103951883,Wed Jul 19 00:47:34 +0000 2017,61925,9012343,18,15563
887343217045368832,Tue Jul 18 16:08:03 +0000 2017,30375,9012343,18,9123
